Time,Fc,Zs,Zus,Zr
0,0,0,0,0
0.002,0.00126279,0,0,0
0.004,0.0025379,0,0,0
0.006,0.00382533,0,0,0
0.008,0.00512507,0,0,0
0.01,0.00643712,0,0,2.20E-06
0.012,0.00776149,0,0,2.20E-06
0.014,0.00909818,0,0,4.39E-06
0.016,0.0104472,0,0,6.59E-06
0.018,0.0118085,0,0,6.59E-06
0.02,0.0131821,0,0,8.79E-06
0.022,0.0145681,0,0,1.98E-05
0.024,0.0159663,0,0,4.61E-05
0.026,0.0173769,0,0,5.27E-05
0.028,0.0187998,0,0,5.71E-05
0.03,0.020235,0,0,6.15E-05
0.032,0.0216825,0,0,8.35E-05
0.034,0.0231423,0,0,0.000125246
0.036,0.0246145,0,0,0.000149416
0.038,0.0260989,4.87E-06,4.87E-06,0.000173587
0.04,0.0275957,4.87E-06,4.87E-06,0.000197757
0.042,0.0291048,9.74E-06,9.74E-06,0.000221927
0.044,0.0306262,1.46E-05,1.46E-05,0.00027686
0.046,0.0321599,2.44E-05,2.44E-05,0.000331792
0.048,0.033706,2.92E-05,2.92E-05,0.000355963
0.05,0.0352643,3.41E-05,3.41E-05,0.000375738
0.052,0.036835,3.90E-05,3.90E-05,0.000388922
0.054,0.0384179,4.87E-05,4.87E-05,0.000404303
0.056,0.0400132,6.33E-05,6.33E-05,0.000441657
0.058,0.0416208,8.28E-05,8.28E-05,0.000485603
0.06,0.0432407,9.74E-05,9.74E-05,0.000509774
0.062,0.044873,0.000112019,0.000112019,0.000531747
0.064,0.0465175,0.00012176,0.00012176,0.000551522
0.066,0.0481744,0.000131501,0.000131501,0.000571298
0.068,0.0498435,0.000155853,0.000155853,0.000617441
0.07,0.051525,0.000180205,0.000180205,0.000670177
0.072,0.0532188,0.000194816,0.000194816,0.000694347
0.074,0.0549249,0.000209427,0.000209427,0.00071632
0.076,0.0566434,0.000224038,0.000224038,0.000733898
0.078,0.0583741,0.00023865,0.00023865,0.000753674
0.08,0.0601172,0.000263002,0.000263002,0.000799817
0.082,0.0618725,0.000292224,0.000292224,0.00085475
0.084,0.0636402,0.000311706,0.000311706,0.000883315
0.086,0.0654202,0.000331187,0.000331187,0.000907485
0.088,0.0672125,0.000345798,0.000345798,0.000929458
0.09,0.0690171,0.00036528,0.00036528,0.000951431
0.092,0.070834,0.000404243,0.000404243,0.00100197
0.094,0.0726633,0.000457818,0.000457818,0.0010591
0.096,0.0745048,0.00048704,0.00048704,0.00108547
0.098,0.0763587,0.000516262,0.000516262,0.00110964
0.1,0.0782249,0.000545485,0.000545485,0.00112721
0.102,0.0801033,0.000569837,0.000569837,0.00114699
0.104,0.0819941,0.000623411,0.000623411,0.00119313
0.106,0.0838973,0.000691597,0.000691597,0.00124147
0.108,0.0858127,0.00072569,0.00072569,0.00126564
0.11,0.0877404,0.000759782,0.000759782,0.00128542
0.112,0.0896805,0.000789005,0.000789005,0.0013052
0.114,0.0916328,0.000813357,0.000813357,0.00132497
0.116,0.0935975,0.000871802,0.000871802,0.00136892
0.118,0.0955745,0.000939987,0.000939987,0.00142165
0.12,0.0975638,0.00097895,0.00097895,0.00144802
0.122,0.0995654,0.00101304,0.00101304,0.00147219
0.124,0.101579,0.00104227,0.00104227,0.00149197
0.126,0.103605,0.00107149,0.00107149,0.00151394
0.128,0.105644,0.0011348,0.0011348,0.00156008
0.13,0.107695,0.00120786,0.00120786,0.00161282
0.132,0.109758,0.00124682,0.00124682,0.00163919
0.134,0.111833,0.00128092,0.00128092,0.00166336
0.136,0.113921,0.00131501,0.00131501,0.00168313
0.138,0.116021,0.00134423,0.00134423,0.00170291
0.14,0.118134,0.00141729,0.00141729,0.00175125
0.142,0.120258,0.00149521,0.00149521,0.00180618
0.144,0.122395,0.00153418,0.00153418,0.00183255
0.146,0.124545,0.00156827,0.00156827,0.00185672
0.148,0.126706,0.00160236,0.00160236,0.00187649
0.15,0.12888,0.00163158,0.00163158,0.00189847
0.152,0.131067,0.00169977,0.00169977,0.00194241
0.154,0.133265,0.00177283,0.00177283,0.00199075
0.156,0.135476,0.00180692,0.00180692,0.00201492
0.158,0.137699,0.00184101,0.00184101,0.0020325
0.16,0.139935,0.00186536,0.00186536,0.00205008
0.162,0.142182,0.00188972,0.00188972,0.00206766
0.164,0.144442,0.00195303,0.00195303,0.00210941
0.166,0.146715,0.00201635,0.00201635,0.00215775
0.168,0.148999,0.00204557,0.00204557,0.00218192
0.17,0.151296,0.00206992,0.00206992,0.00220389
0.172,0.153606,0.0020894,0.0020894,0.00222367
0.174,0.155927,0.00211375,0.00211375,0.00224344
0.176,0.158261,0.00216733,0.00216733,0.00228739
0.178,0.160608,0.0022209,0.0022209,0.00233353
0.18,0.162966,0.00224038,0.00224038,0.0023577
0.182,0.165337,0.00226474,0.00226474,0.00237748
0.184,0.16772,0.00228909,0.00228909,0.00239725
0.186,0.170115,0.00231344,0.00231344,0.00241703
0.188,0.172523,0.00236214,0.00236214,0.00246317
0.19,0.174943,0.00240598,0.00240598,0.00251591
0.192,0.177376,0.00242546,0.00242546,0.00254447
0.194,0.17982,0.00244494,0.00244494,0.00256645
0.196,0.182277,0.00246442,0.00246442,0.00258622
0.198,0.184746,0.0024839,0.0024839,0.002606
0.2,0.187228,0.002518,0.002518,0.00264994
0.202,0.189722,0.00255209,0.00255209,0.00269389
0.204,0.192228,0.0025667,0.0025667,0.00271586
0.206,0.194746,0.00258618,0.00258618,0.00273344
0.208,0.197277,0.00259592,0.00259592,0.00274882
0.21,0.19982,0.00260566,0.00260566,0.0027642
0.212,0.202376,0.00262028,0.00262028,0.00280156
0.214,0.204943,0.00264463,0.00264463,0.00284331
0.216,0.207523,0.00265437,0.00265437,0.00286308
0.218,0.210115,0.00266411,0.00266411,0.00288066
0.22,0.21272,0.00267385,0.00267385,0.00289604
0.222,0.215337,0.00267872,0.00267872,0.00291142
0.224,0.217966,0.0026982,0.0026982,0.00294878
0.226,0.220607,0.00271281,0.00271281,0.00298613
0.228,0.223261,0.00271768,0.00271768,0.0030081
